stim_id,image_path,domain,family,complexity,seed,n,c1,c2,c2_bin,control,mean,std
c052_cloud_multifractional,images/c052_cloud_multifractional.png,cloud,cloud_multifractional,0.50,3,512,1.6261,-0.2351,moderate,no,0.5000,0.1371
c053_ridged,images/c053_ridged.png,cloud,ridged,0.75,0,512,2.5156,-0.2336,moderate,no,0.5742,0.2867
c054_stratified,images/c054_stratified.png,cloud,stratified,0.75,1,512,2.0051,-0.2351,moderate,no,0.5000,0.0915
c055_billow,images/c055_billow.png,cloud,billow,0.25,0,512,1.9778,-0.2304,moderate,no,0.5000,0.1301
c056_billow,images/c056_billow.png,cloud,billow,0.00,1,512,1.8383,-0.1490,mild,no,0.5000,0.1217
c057_cascade_lognormal,images/c057_cascade_lognormal.png,cloud,cascade_lognormal,0.50,3,512,1.9018,-0.1558,mild,no,0.5000,0.0953
c058_cirrus,images/c058_cirrus.png,cloud,cirrus,0.50,1,512,2.1875,-0.1406,mild,no,0.5695,0.1431
c059_cloud_mrw,images/c059_cloud_mrw.png,cloud,cloud_mrw,0.25,2,512,1.3929,-0.1408,mild,no,0.5000,0.0597
c060_cloud_multifractional,images/c060_cloud_multifractional.png,cloud,cloud_multifractional,0.25,1,512,1.5537,-0.1351,mild,no,0.5000,0.1952
c061_ridged,images/c061_ridged.png,cloud,ridged,1.00,0,512,2.2502,-0.1456,mild,no,0.5791,0.2962
c062_stratified,images/c062_stratified.png,cloud,stratified,0.25,0,512,1.9742,-0.1315,mild,no,0.5000,0.1556
c063_billow,images/c063_billow.png,cloud,billow,0.00,3,512,1.9736,-0.1203,mild,no,0.5000,0.1127
c064_cascade_lognormal,images/c064_cascade_lognormal.png,cloud,cascade_lognormal,0.25,1,512,1.9009,-0.0692,weak,no,0.5000,0.1189
c065_cirrus,images/c065_cirrus.png,cloud,cirrus,0.00,1,512,2.2581,-0.0812,weak,no,0.5637,0.1539
c066_cloud_multifractional,images/c066_cloud_multifractional.png,cloud,cloud_multifractional,0.25,3,512,1.7325,-0.0997,weak,no,0.5000,0.1557
c067_ridged,images/c067_ridged.png,cloud,ridged,1.00,1,512,2.2007,-0.0632,weak,no,0.5755,0.2808
c068_stratified,images/c068_stratified.png,cloud,stratified,0.00,0,512,1.9921,-0.0675,weak,no,0.5000,0.1765
c069_cascade_lognormal,images/c069_cascade_lognormal.png,cloud,cascade_lognormal,0.25,3,512,1.9396,-0.0771,weak,no,0.5000,0.1177
c070_cirrus,images/c070_cirrus.png,cloud,cirrus,0.00,0,512,2.2476,-0.0812,weak,no,0.5634,0.1604
c071_ridged,images/c071_ridged.png,cloud,ridged,1.00,3,512,2.2302,-0.0813,weak,no,0.5806,0.2558
c072_cascade_lognormal,images/c072_cascade_lognormal.png,cloud,cascade_lognormal,0.00,1,512,1.9610,-0.0285,monofractal,no,0.5000,0.1493
c073_cloud_mrw,images/c073_cloud_mrw.png,cloud,cloud_mrw,0.00,3,512,1.8582,0.0012,monofractal,no,0.5000,0.1679
c074_cloud_multifractional,images/c074_cloud_multifractional.png,cloud,cloud_multifractional,0.00,3,512,1.8318,-0.0178,monofractal,no,0.5000,0.1639
c075_ridged,images/c075_ridged.png,cloud,ridged,1.00,2,512,2.2329,0.0063,monofractal,no,0.5746,0.2818
c076_warped_fbm,images/c076_warped_fbm.png,cloud,warped_fbm,0.25,0,512,1.6188,0.0036,monofractal,yes,0.5176,0.1457
c077_cascade_lognormal,images/c077_cascade_lognormal.png,cloud,cascade_lognormal,0.00,3,512,1.9958,-0.0300,monofractal,no,0.5000,0.1522
c078_cloud_mrw,images/c078_cloud_mrw.png,cloud,cloud_mrw,0.00,0,512,1.8225,-0.0047,monofractal,no,0.5000,0.1650
c079_cloud_multifractional,images/c079_cloud_multifractional.png,cloud,cloud_multifractional,0.00,0,512,1.7641,-0.0215,monofractal,no,0.5000,0.1636
f080_choppy,images/f080_choppy.png,fluid,choppy,1.00,3,512,1.8156,-0.4787,strong,no,0.4328,0.1491
f081_dye_diffusion,images/f081_dye_diffusion.png,fluid,dye_diffusion,0.50,2,512,3.3349,-0.8685,strong,no,0.4200,0.2261
f082_choppy,images/f082_choppy.png,fluid,choppy,1.00,2,512,1.7748,-0.4126,strong,no,0.4992,0.1498
f083_dye_diffusion,images/f083_dye_diffusion.png,fluid,dye_diffusion,1.00,1,512,2.4208,-0.8441,strong,no,0.4200,0.2554
f084_choppy,images/f084_choppy.png,fluid,choppy,1.00,1,512,1.7088,-0.2232,moderate,no,0.4985,0.1425
f085_choppy,images/f085_choppy.png,fluid,choppy,0.75,0,512,1.8515,-0.2579,moderate,no,0.4979,0.1740
f086_choppy,images/f086_choppy.png,fluid,choppy,0.00,2,512,2.2014,-0.1415,mild,no,0.5065,0.2263
f087_curl_weave,images/f087_curl_weave.png,fluid,curl_weave,1.00,2,512,1.6222,-0.1356,mild,no,0.4246,0.1734
f088_eddies,images/f088_eddies.png,fluid,eddies,,2,512,2.0535,-0.1362,mild,no,0.5131,0.1862
f089_rheoscopic,images/f089_rheoscopic.png,fluid,rheoscopic,0.00,2,512,1.8246,-0.1285,mild,no,0.4574,0.1460
f090_vorticity,images/f090_vorticity.png,fluid,vorticity,,0,512,2.3360,-0.1108,mild,no,0.5480,0.1172
f091_choppy,images/f091_choppy.png,fluid,choppy,0.25,0,512,2.0614,-0.1313,mild,no,0.4992,0.2123
f092_curl_weave,images/f092_curl_weave.png,fluid,curl_weave,0.75,1,512,1.6996,-0.1313,mild,no,0.4363,0.2240
f093_eddies,images/f093_eddies.png,fluid,eddies,,3,512,2.0796,-0.1219,mild,no,0.5190,0.1842
f094_choppy,images/f094_choppy.png,fluid,choppy,0.00,0,512,2.1245,-0.0793,weak,no,0.4999,0.2206
f095_curl_weave,images/f095_curl_weave.png,fluid,curl_weave,0.50,0,512,1.7958,-0.0726,weak,no,0.5335,0.1628
f096_rheoscopic,images/f096_rheoscopic.png,fluid,rheoscopic,0.25,3,512,1.6653,-0.0779,weak,no,0.4108,0.1203
f097_vorticity,images/f097_vorticity.png,fluid,vorticity,,2,512,2.3835,-0.0948,weak,no,0.5416,0.1185
f098_choppy,images/f098_choppy.png,fluid,choppy,0.00,1,512,2.1699,-0.0882,weak,no,0.4994,0.2227
f099_curl_weave,images/f099_curl_weave.png,fluid,curl_weave,0.50,2,512,1.8689,-0.0821,weak,no,0.4001,0.1767
f100_rheoscopic,images/f100_rheoscopic.png,fluid,rheoscopic,0.25,0,512,1.6586,-0.0803,weak,no,0.4105,0.1220
f101_vorticity,images/f101_vorticity.png,fluid,vorticity,,3,512,2.3473,-0.0964,weak,no,0.5285,0.1185
f102_curl_weave,images/f102_curl_weave.png,fluid,curl_weave,0.00,2,512,1.9993,-0.0042,monofractal,no,0.3864,0.1878
f103_rheoscopic,images/f103_rheoscopic.png,fluid,rheoscopic,1.00,1,512,0.9316,0.0007,monofractal,no,0.4059,0.0935
f104_curl_weave,images/f104_curl_weave.png,fluid,curl_weave,0.00,3,512,1.9487,-0.0145,monofractal,no,0.4932,0.1786
f105_rheoscopic,images/f105_rheoscopic.png,fluid,rheoscopic,0.75,1,512,1.2227,-0.0042,monofractal,no,0.4167,0.1078
