family,complexity,seed,n,c1,c2,beta,aniso,mean,rms
marble,0.0,0,512,2.310208099520122,-0.0072999506233321,4.408576800899778,0.0113425578886473,0.5000000000000001,0.1599999999991153
marble,0.0,1,512,2.290034381676216,-0.0114108302820644,4.373571209987015,0.0168663646732019,0.5000000000000001,0.1599999999991987
marble,0.0,2,512,2.28737162560435,-0.0184237447936914,4.457129358283338,0.0112707436888182,0.5000000000000001,0.1599999999991677
marble,0.0,3,512,2.3467021257220853,-0.0027057756567888,4.54545601090018,0.0111032827107207,0.5,0.159999999999153
marble,0.0,4,512,2.3122566605496457,-0.0072672541929358,4.540005118401001,0.0050276567834398,0.5,0.1599999999991577
marble,0.0,5,512,2.339477934398425,-0.0126247513688903,4.534052793680244,0.0034683229153831,0.500000526363,0.1599983420710559
marble,0.0,6,512,2.3335966643527764,-0.0152242469299816,4.480053823959802,0.008571670353551,0.5000000221749559,0.1599999302995263
marble,0.0,7,512,2.3523387625161183,-0.0036868588817451,4.581424525269528,0.0088359025104528,0.5000000000000001,0.1599999999991689
marble,0.0,8,512,2.294789619003065,-0.0188184801886829,4.567188918214274,0.0171771046488746,0.5003468386877916,0.158810693158977
marble,0.0,9,512,2.31124724695506,-0.0078933514051677,4.503017854815524,0.0050894586516966,0.4999999999999999,0.1599999999991675
marble,0.0,10,512,2.3296323916606263,-0.0059511754429826,4.536162965051204,0.007105277261646,0.5000022064914499,0.1599930473408805
marble,0.0,11,512,2.330143660112002,-0.009129829986905,4.556162697555148,0.0084383540457746,0.5000002744724295,0.1599991351673111
marble,0.0,12,512,2.304898266214535,-0.0084983703925516,4.477580566937759,0.0111671131369141,0.5,0.1599999999991006
marble,0.0,13,512,2.3213482029889887,-0.006423406657716,4.551508170900372,0.0115882040115351,0.5000013672503388,0.1599956805457926
marble,0.0,14,512,2.303076267706544,-0.0106857368607648,4.481194135574032,0.0102307833489982,0.5000000203251149,0.1599999362008988
marble,0.0,15,512,2.2980300154113644,-0.0051897077721496,4.530658067429354,0.016908901136133,0.5000000000000001,0.159999999999253
marble,0.125,0,512,1.9733408029476889,-0.1186940906275992,3.630773493248163,0.0211864040449461,0.5000031156937255,0.1599899736621441
marble,0.125,1,512,1.935760823363764,-0.1180744770972609,3.59122019234504,0.0479464551593774,0.4999999999999999,0.1599999999990745
marble,0.125,2,512,1.9785859779743296,-0.1253226281374908,3.702941848637869,0.0191090436733356,0.500000288081271,0.1599990832681967
marble,0.125,3,512,2.0350410626543507,-0.0944586962500269,3.815273548836348,0.0165709180433043,0.5000019342089462,0.1599937466444948
marble,0.125,4,512,2.00173530351915,-0.0929710442331767,3.814322730042273,0.0120348354050951,0.5000000825339931,0.1599997364997644
marble,0.125,5,512,1.983235103441855,-0.0826322897970079,3.78267662602235,0.0167096470586691,0.5000022803418972,0.1599927174512096
marble,0.125,6,512,2.0128274524955625,-0.1212450261002186,3.741240418176838,0.0159294980842799,0.5000279376733279,0.1599090663501435
marble,0.125,7,512,2.0776052526187843,-0.0824134089675064,3.8923519649680336,0.0152036765046085,0.5000361227647997,0.1598810541446722
marble,0.125,8,512,2.01840127553252,-0.078747725442719,3.871219035339036,0.033607326277256,0.5001230551386217,0.1595886517870305
marble,0.125,9,512,1.97188524048626,-0.1174576301255712,3.756014354119136,0.0206789293332799,0.5000012529801037,0.1599959600568213
marble,0.125,10,512,2.0435781303309177,-0.0757467135941586,3.832179845898824,0.0141548768518711,0.5000218604576554,0.1599289871484612
marble,0.125,11,512,2.013300903314689,-0.0650416092186946,3.8513703961969257,0.0276004805438579,0.5000324607705539,0.1598922707536097
marble,0.125,12,512,1.955956715731963,-0.1246569291444451,3.702746853233376,0.0215154968985041,0.5000024791822713,0.1599920792592569
marble,0.125,13,512,2.005304649185612,-0.0799553331791958,3.844579475324262,0.027865506844752,0.5000942061220305,0.1596867123107161
marble,0.125,14,512,1.985373085240369,-0.1027565643475038,3.743943839100378,0.0236761514068922,0.5000193917156531,0.1599349199535517
marble,0.125,15,512,1.9917963919483983,-0.0809606506401396,3.807989223206468,0.0342644614492082,0.5000026281773488,0.1599913650876486
marble,0.25,0,512,1.803358537229135,-0.1643132477575314,3.286767695769345,0.0317024674629512,0.5000821867837857,0.1596824006916704
marble,0.25,1,512,1.7640852435489751,-0.1778821217832774,3.244712499946069,0.0532113869621032,0.5000279965317384,0.1598810058804021
marble,0.25,2,512,1.7949344173729296,-0.1781652672873034,3.3441276293022475,0.0239101273946989,0.5000328569340109,0.159846752386647
marble,0.25,3,512,1.80620056225694,-0.1347444227725422,3.4239366624264065,0.0279557660345641,0.5000890012745605,0.159639859720121
marble,0.25,4,512,1.86102370253933,-0.1426457714618029,3.417263666062176,0.0230741691948435,0.5000103472492945,0.1596218612026184
marble,0.25,5,512,1.7953420622109246,-0.1402921794301354,3.3792366560956326,0.03929249070323,0.5000624434776522,0.1597714650707624
marble,0.25,6,512,1.819881679267144,-0.1574102008263499,3.38073993462596,0.0221238771922151,0.5002028806441665,0.1593012986065721
marble,0.25,7,512,1.8802994392959416,-0.1402025668559418,3.4823240604170587,0.0264364299969,0.5002762578693214,0.1589715610552226
marble,0.25,8,512,1.8231058746204,-0.1111201078210097,3.448322890409782,0.0452944976086712,0.5003330839367152,0.1587243898939694
marble,0.25,9,512,1.811676411864788,-0.1402741940760205,3.375425786391051,0.0400685378904189,0.5000534732864527,0.1596521050016142
marble,0.25,10,512,1.8501812856406248,-0.1218537483795871,3.436741710223864,0.0229638270386802,0.5001473895418601,0.1594525217853954
marble,0.25,11,512,1.7932418876613316,-0.109297949648963,3.4424925811632114,0.0458324767110513,0.5001976830132244,0.1592797009234871
marble,0.25,12,512,1.778996171462366,-0.1603382243874709,3.3206523094207223,0.0337823260141366,0.500037869645205,0.1598639850649771
marble,0.25,13,512,1.7977246566968323,-0.1278386940217754,3.424279885451262,0.0400697303670014,0.5002966503921583,0.1589070085985995
marble,0.25,14,512,1.803489235160726,-0.1469530827525574,3.3704966325086434,0.0322228875664485,0.5001307992397309,0.159513363359595
marble,0.25,15,512,1.765518465530289,-0.1379658357452441,3.403480358421594,0.0440156467300658,0.5000555162424715,0.1598020432364029
marble,0.375,0,512,1.730287264915869,-0.2040524450356108,3.067368904515809,0.0405570029351243,0.5005941711597796,0.1567950526801914
marble,0.375,1,512,1.6364154894428191,-0.2292938834440614,3.012589509258541,0.0512799229123704,0.5002216086081487,0.1584197163305084
marble,0.375,2,512,1.664930751439359,-0.218704191885864,3.0988716008888835,0.0414972301741525,0.5001870607350414,0.1582829683568354
marble,0.375,3,512,1.6486968198300795,-0.1820498822862935,3.147570764900383,0.0409900300029834,0.5001679968518463,0.1580378276472689
marble,0.375,4,512,1.730306649597022,-0.1943973977245511,3.138849099029531,0.0399980538966236,0.5000869384650465,0.1569121491892319
marble,0.375,5,512,1.6657873457110697,-0.1733637856079678,3.1035387509382435,0.056704978584228,0.5003214848890144,0.1577179888433177
marble,0.375,6,512,1.695228808883605,-0.1800328624564398,3.139855145056001,0.0367794544357437,0.5005385533992595,0.1575173928222196
marble,0.375,7,512,1.7123894977326164,-0.1799974936416234,3.202326032050671,0.0456102984012174,0.5007014358686125,0.1560056701457647
marble,0.375,8,512,1.6736880607721134,-0.1388683399605753,3.144748714409792,0.0509315511892737,0.5007066209967909,0.1554209285461401
marble,0.375,9,512,1.6706467822657032,-0.1786985367244896,3.1255315058509536,0.0481301418384384,0.5000074616416429,0.1567045932920494
marble,0.375,10,512,1.7049631620387182,-0.176792005691335,3.1573070250464768,0.0344033083400432,0.5002984394203737,0.15769565895678
marble,0.375,11,512,1.6592018797895856,-0.1501342165712484,3.142045405459605,0.0612877673885922,0.5006684127743991,0.1572474298589566
marble,0.375,12,512,1.6593064839896947,-0.1985938555753346,3.074772735929728,0.0419226459516487,0.5001359634297761,0.1592067716628611
marble,0.375,13,512,1.705689736196952,-0.1683934528308711,3.162793730920477,0.0510418151272304,0.5004421969827229,0.1572164499330508
marble,0.375,14,512,1.6902845243287763,-0.1848852346581247,3.112850183199073,0.0409378822743571,0.5004480924285156,0.1578243136639901
marble,0.375,15,512,1.6296850189294525,-0.1896270146762763,3.1077895341119803,0.0606179383761253,0.5002217572166711,0.158677573977711
marble,0.5,0,512,1.641068618953707,-0.2406973556427579,2.873502107209954,0.0681182599436479,0.501311083106659,0.1502098770541389
marble,0.5,1,512,1.5536456859636183,-0.24782361947217,2.8323259119272537,0.0687870947212249,0.5003577920577349,0.1549150972801843
marble,0.5,2,512,1.5893368654241438,-0.2241648258374144,2.9011669223149075,0.0526962705786311,0.5004172338483516,0.1538927989829769
marble,0.5,3,512,1.585071466923292,-0.2256115047310575,2.9403001326557257,0.0513041536497,0.5002805689848616,0.1540627730650928
marble,0.5,4,512,1.6068863169775942,-0.2217727625071135,2.895074596149444,0.0622342951735478,0.5001635148964162,0.1524574221189255
marble,0.5,5,512,1.554129623196317,-0.2063125647189058,2.8736740234080496,0.0680265338872396,0.5002648921310016,0.1537208657263033
marble,0.5,6,512,1.5918536028595078,-0.21439197401628,2.940986685219831,0.05630295193064,0.5010198695023302,0.1529305913111217
marble,0.5,7,512,1.6167814091020212,-0.1997983752259126,2.982513541668443,0.0661939847964485,0.5012850745234867,0.1486229324763343
marble,0.5,8,512,1.5752944451485664,-0.1649299632377014,2.894387424823952,0.0621058806794202,0.5009484443363218,0.1485685842794334
marble,0.5,9,512,1.581858183763898,-0.2361499246901031,2.897141378308992,0.0626233673207975,0.5002430741517548,0.1495969229551071
marble,0.5,10,512,1.60600007420911,-0.2032291577013629,2.936358857700257,0.0562423516706331,0.500641134748625,0.1528828717759787
marble,0.5,11,512,1.508791479694924,-0.1853766439042318,2.8836384491685374,0.0887586940200547,0.5014244597236137,0.1511818244278243
marble,0.5,12,512,1.5824637587797783,-0.2358810865897195,2.8993774246905404,0.0592242350775564,0.5005178719440262,0.1559907012942672
marble,0.5,13,512,1.6089948521932076,-0.204283098973017,2.952514629803872,0.0576775661033663,0.5005498563583238,0.152899428435565
marble,0.5,14,512,1.6102523789669545,-0.2226379964505377,2.897833212836244,0.0537126602463788,0.5010539299654212,0.1524853011885543
marble,0.5,15,512,1.5525730755280105,-0.2290670389718383,2.877749071528072,0.0678979864580043,0.5005114323850233,0.1548122577580634
marble,0.625,0,512,1.5869669288265826,-0.2899357227010575,2.710922829102577,0.075031351294559,0.5027262292939738,0.1322603962440642
marble,0.625,1,512,1.503009484176776,-0.2747277049277178,2.6557032173358146,0.0844309741795343,0.5009990699894361,0.1440967521639217
marble,0.625,2,512,1.51153587761559,-0.2426607350150571,2.690661247256404,0.0786870904391308,0.5008757933009446,0.1455240626035617
marble,0.625,3,512,1.5067960267957057,-0.2539407860063278,2.7378280299758693,0.0786824358802352,0.5005984178702172,0.1445254083225218
marble,0.625,4,512,1.5065181869050523,-0.281181615977566,2.671195684663797,0.073940688712767,0.5006879948307199,0.1421522316940197
marble,0.625,5,512,1.439690628012192,-0.2193951875383803,2.6689901425426616,0.0932751799048457,0.4999969243857453,0.1468434016928671
marble,0.625,6,512,1.4801255625381071,-0.2553186798433554,2.7303834873063715,0.0876610250304945,0.5012681964994021,0.1465404197677463
marble,0.625,7,512,1.5486417549414333,-0.2621026705400973,2.757821412723824,0.0913864732798674,0.5018360055573305,0.1379701952173064
marble,0.625,8,512,1.4828537100886352,-0.2025917962677842,2.6880883775831186,0.078025442956039,0.5014961176842972,0.132302970778474
marble,0.625,9,512,1.4797593760406824,-0.2928145962740832,2.6906530229944594,0.0827225711051553,0.500317186508327,0.1414770625396335
marble,0.625,10,512,1.533439944549223,-0.2227385744665185,2.7285643193659506,0.0816212109734163,0.5014855736290167,0.1395236697069729
marble,0.625,11,512,1.4274936483127831,-0.22310829901907,2.680104713795557,0.1085917770973085,0.50142757600403,0.1431865788772446
marble,0.625,12,512,1.4792121858448328,-0.2537698715650445,2.7250881911245,0.0781873018956595,0.5007930110289557,0.1485105639576897
marble,0.625,13,512,1.5211664891608312,-0.2370754268713774,2.747894724493161,0.0800045848368119,0.5010041624201802,0.1436654017255992
marble,0.625,14,512,1.5121862542360738,-0.2486389817108422,2.7129982451918155,0.0765340863314394,0.5016505442201299,0.1435006009582032
marble,0.625,15,512,1.4818970771743942,-0.2609260762234041,2.6840638014065776,0.0833603333392932,0.5007432751828638,0.1473756132334746
marble,0.75,0,512,1.5089721662240922,-0.3385676670309899,2.5209222858596623,0.0936464996240069,0.503211966985364,0.1092924092595234
marble,0.75,1,512,1.4376848610120196,-0.316829285444955,2.495134173511815,0.1030452207059743,0.5010946688695819,0.1326985332409858
marble,0.75,2,512,1.4135800533557286,-0.3008940250702847,2.4828425326889008,0.1022788546819813,0.502036709263597,0.1282316527598864
marble,0.75,3,512,1.4262056682985569,-0.2974435068241192,2.543734110273482,0.0967719523601863,0.5011468775877063,0.1275873511095811
marble,0.75,4,512,1.4366916429538048,-0.3256159670987915,2.45341241668073,0.0939937679733168,0.5015312489788882,0.1202130441843155
marble,0.75,5,512,1.32971301547038,-0.2425559206004448,2.464202553984225,0.1224114369180058,0.5002070150300362,0.1313739819356005
marble,0.75,6,512,1.4321743961165156,-0.2833108243129174,2.547726567776951,0.1103311042547968,0.5013011598387386,0.1306090204109579
marble,0.75,7,512,1.5230304398002434,-0.3328351612535324,2.553502577304452,0.1098974195403851,0.5020532567043658,0.1180330884671734
marble,0.75,8,512,1.4129878584796254,-0.2325108861326959,2.4874559978069533,0.0968561489872174,0.5023467778521389,0.1221551550354
marble,0.75,9,512,1.4425658589094157,-0.3597431242994109,2.4975102040709305,0.1091479301107037,0.4998652289769464,0.1229152346483446
marble,0.75,10,512,1.4392465418266136,-0.2570460545576597,2.531688929490549,0.0950082652760258,0.5004566832009201,0.1248216864152923
marble,0.75,11,512,1.3413693873062975,-0.2357418010095887,2.477454375337393,0.1186278856723511,0.5012673442436417,0.128098265598613
marble,0.75,12,512,1.4079151365383022,-0.3142155187006997,2.535390708481999,0.109982200888161,0.5021105477032661,0.1324546073943278
marble,0.75,13,512,1.4411319355734324,-0.2798448911536896,2.5584087074471613,0.0968019630762109,0.5009407123118444,0.130997342389425
marble,0.75,14,512,1.4423773796115271,-0.3016225837576721,2.519982287038506,0.1073304589893209,0.5017905914539205,0.1238897884554441
marble,0.75,15,512,1.4182459949067332,-0.3114111691084505,2.500729737591356,0.0965998599143133,0.50112933975281,0.1335973040178093
marble,0.875,0,512,1.4590615677777037,-0.3705893448646815,2.376886098604865,0.1192035261939464,0.5022674046059855,0.1024506231457546
marble,0.875,1,512,1.373832426368589,-0.4183255368583289,2.290602512546014,0.134669728915608,0.5004217353463292,0.1142313716429104
marble,0.875,2,512,1.3450007689047956,-0.3763940506420326,2.288948415185964,0.1223912764586783,0.5016138631999033,0.1159415497113232
marble,0.875,3,512,1.3480389843358271,-0.3863435032103323,2.3200259995718326,0.1265421916210696,0.5021785371651392,0.0972921751521199
marble,0.875,4,512,1.329957695129924,-0.3977650553563969,2.243369183653249,0.137583880141346,0.5014156074476743,0.099961773744419
marble,0.875,5,512,1.2699142484706287,-0.332487546670908,2.216862403007494,0.1620215165898037,0.5006927764890285,0.0959705861388306
marble,0.875,6,512,1.3916199282371762,-0.3590006954702893,2.3683129951106583,0.1091893156666859,0.5015920886966685,0.1071429322608415
marble,0.875,7,512,1.4497827696080563,-0.3727247596395758,2.341089015412805,0.1411539641389889,0.5012667324727749,0.0887616254055049
marble,0.875,8,512,1.339802351577558,-0.3304455721051003,2.2565325236375315,0.1380522293282266,0.5021162809289711,0.0837971281679587
marble,0.875,9,512,1.4307171852871037,-0.4094349525725281,2.310142938776859,0.1541598283664012,0.4997342227211278,0.1042219890473668
marble,0.875,10,512,1.3586505855066833,-0.3359443174328014,2.3267057714560044,0.1229419792023804,0.4993132635583547,0.1112780791892235
marble,0.875,11,512,1.2738583493664308,-0.3196154725984297,2.256429157211095,0.1484960965350633,0.5007167394037169,0.1061182850053652
marble,0.875,12,512,1.3338770795381094,-0.3652782299266503,2.3198356913552742,0.1315930886022335,0.5014716312219676,0.1158246715035223
marble,0.875,13,512,1.351949934965125,-0.3206109444807015,2.33961951078886,0.1247557757200065,0.5015574080736562,0.1186303934549221
marble,0.875,14,512,1.364489665094009,-0.3640757031416232,2.2953464662239806,0.1391859233178053,0.4999667363124988,0.0998533461694316
marble,0.875,15,512,1.3477033420377535,-0.3884039227403801,2.2980699509918456,0.1269555333536418,0.5014284437222347,0.1155406426125343
marble,1.0,0,512,1.4216835257213043,-0.4475162905344836,2.188951665975248,0.1619899231308497,0.5012243769642332,0.0871448104715142
marble,1.0,1,512,1.3175310032421963,-0.4904664798791295,2.09289951629997,0.1663339619897003,0.4992041212760348,0.0823198262082002
marble,1.0,2,512,1.295305257124321,-0.4283092965848946,2.100536313500986,0.1564032345964044,0.5006723776455131,0.0896913304648688
marble,1.0,3,512,1.2849486859047576,-0.4477784000376344,2.128480675551144,0.1622677251620886,0.5027619431038103,0.0880809683769141
marble,1.0,4,512,1.2722603793381777,-0.4867197852742168,2.0261298721304,0.1798820871828538,0.502149791546886,0.0815448881477907
marble,1.0,5,512,1.264791486628828,-0.3402243325608979,2.077244532102139,0.1825457352908133,0.4995214143826887,0.0687639843884038
marble,1.0,6,512,1.316342009891103,-0.424108218185452,2.18418263329184,0.1561060559370976,0.5017183725987477,0.0915310626804793
marble,1.0,7,512,1.421100799953847,-0.5170101005616562,2.028979358267817,0.1712097916674925,0.5012036631183419,0.057436317797016
marble,1.0,8,512,1.268055010146324,-0.353287716315953,2.0853958401727457,0.154490031734274,0.5007857873008079,0.0815985674965025
marble,1.0,9,512,1.388968527366045,-0.5098152887007397,2.0400834956420257,0.2279573734836445,0.5005257554535899,0.0821603782551235
marble,1.0,10,512,1.3196494873332074,-0.409338250376551,2.130117032396482,0.1624516841414804,0.499576017805296,0.0858374680326709
marble,1.0,11,512,1.2517284083679745,-0.427862629392523,2.015206082075231,0.2127659325106674,0.5010391605451971,0.0777233195009931
marble,1.0,12,512,1.3085962789197247,-0.4045497782567143,2.1657923761742084,0.1507916984064009,0.5008064265478575,0.1003064988957977
marble,1.0,13,512,1.2805226179082234,-0.4049076841682194,2.1315282371206217,0.1553436235476458,0.5007368101141334,0.104603118591822
marble,1.0,14,512,1.321278081622577,-0.4222467173109934,2.1506403894381045,0.1582625633816545,0.5017399739303279,0.0879325155737827
marble,1.0,15,512,1.2937932849500484,-0.4188663711182546,2.090284085803766,0.1592375772021135,0.501073494471669,0.0979869487613738
agate,0.0,0,512,1.946964787122505,0.0025708417685291,3.840890466001214,0.0209032150316478,0.4999999999999999,0.1599999999990502
agate,0.0,1,512,1.9394256528765927,-0.0021388747148542,3.8121819335172193,0.0236817764194006,0.5,0.1599999999990405
agate,0.0,2,512,1.920791907982892,-0.0073391628815066,3.8529984579902337,0.0240455750257557,0.4999999999999999,0.1599999999990979
agate,0.0,3,512,1.9713728161833413,0.0052628599872699,3.877242985865187,0.022617200162005,0.5000000000000001,0.1599999999991032
agate,0.0,4,512,1.9321908794447045,-0.0010321154974084,3.862340607370129,0.0163504154354731,0.4999988116670303,0.1599962408997341
agate,0.0,5,512,1.950652110789782,-0.0014069153161134,3.876262011198064,0.0152918890127239,0.5,0.159999999999053
agate,0.0,6,512,1.9725508451729383,0.0008651867495363,3.857870171743504,0.0190525187270593,0.4999968308021183,0.1599898918596708
agate,0.0,7,512,1.974902819282084,0.0039454709679663,3.868348317302958,0.0251387210433308,0.5000012112333524,0.1599955027016655
agate,0.0,8,512,1.9073926632096947,-0.0033527392389219,3.840616057554608,0.0312565018780854,0.5002861676066357,0.1590107962719769
agate,0.0,9,512,1.9321054132711937,0.0043198882276127,3.8606447873420864,0.02205279238448,0.4999998916939612,0.1599963207793301
agate,0.0,10,512,1.944688019304296,0.0005073225866887,3.861084437495187,0.0231295759272751,0.5000000068199232,0.1599999786536581
agate,0.0,11,512,1.9319540624103049,-0.0056235374288428,3.865312146922985,0.0301558657316274,0.5000740755539814,0.1597581480158844
agate,0.0,12,512,1.9458374477716656,0.0035615180448067,3.870903614820148,0.0219651300696488,0.4999904247816322,0.1599678485940293
agate,0.0,13,512,1.95260563580072,-0.0031813196737437,3.857264846388958,0.0264661391219051,0.5000482014791265,0.1598425008821496
agate,0.0,14,512,1.9358993423738555,0.0047871561355774,3.85031459404106,0.017962885297831,0.4999995297195718,0.1599979251312767
agate,0.0,15,512,1.9218995264734176,0.0016825626148786,3.8663385592219535,0.0319992623447421,0.4999999999999999,0.1599999999991267
agate,0.125,0,512,1.821795170298532,-0.0219522374921872,3.6189763397703234,0.0184353279474499,0.5000147282864279,0.1599464230129523
agate,0.125,1,512,1.813708421499377,-0.0493850193662228,3.6254992916444535,0.023732723354002,0.499999457162688,0.1599678180084162
agate,0.125,2,512,1.8189764175138807,-0.0555461470793893,3.672265766221514,0.0134355197907012,0.499991890392108,0.1599736714878287
agate,0.125,3,512,1.867633597121816,-0.0368016405150493,3.711722150479592,0.0181494878548973,0.4999960827630781,0.1599438343130307
agate,0.125,4,512,1.8621887713132177,-0.0317918030769263,3.69063121739732,0.0180188167101,0.4999386866404852,0.1597444600595474
agate,0.125,5,512,1.8280163220547776,-0.02856862608453,3.668836632283688,0.018451615262099,0.5000373177041272,0.1598092196896557
agate,0.125,6,512,1.821004324028292,-0.0267900905557425,3.680493363366719,0.0138046275756075,0.5000087222716573,0.1599245011168013
agate,0.125,7,512,1.8409480713296589,-0.0457908212263116,3.715174912804703,0.0184072689007548,0.5001139785540524,0.1595811821670298
agate,0.125,8,512,1.809151650999276,-0.0350841790804829,3.664526667305146,0.022893133970712,0.500134702485815,0.1593330293604026
agate,0.125,9,512,1.8038733084003409,-0.044112760937491,3.6609394932614703,0.0186595888158451,0.4999862498505494,0.1597376572195654
agate,0.125,10,512,1.8400988837722745,-0.0242593664520968,3.6790734104264327,0.0135339944513899,0.5000127567335217,0.1598860264223943
agate,0.125,11,512,1.7980886209232072,-0.0359481398498509,3.6797793173334656,0.0316052569410285,0.5000836349621134,0.1596810032326713
agate,0.125,12,512,1.8277869632309376,-0.0499838891130166,3.667842999396259,0.0160121209947625,0.4999930787533673,0.1598682016594533
agate,0.125,13,512,1.837614347722539,-0.0352631995489106,3.685813725316269,0.0202573054945887,0.500234248919736,0.1591337864412607
agate,0.125,14,512,1.826749058490669,-0.0429031772203295,3.6824735275376153,0.0152084688054779,0.5000372291667894,0.1598504290298566
agate,0.125,15,512,1.8188586398300208,-0.0376588747064246,3.70682278085636,0.0369418600091846,0.5000166357963092,0.159944136455152
agate,0.25,0,512,1.666833141258777,-0.0742222049242175,3.198874307552239,0.0396695023180856,0.5002511629581626,0.1587921958341875
agate,0.25,1,512,1.624174827567829,-0.089517524816174,3.2084450218260163,0.0342827663814939,0.5000948670676375,0.1591970702393585
agate,0.25,2,512,1.6607837322307677,-0.0886063893737314,3.223693258819252,0.0258669020899533,0.4998687986867938,0.1591171349511306
agate,0.25,3,512,1.6573353018852637,-0.0878964920960387,3.27343162970158,0.0310748691275786,0.4999521608415095,0.1589895176962135
agate,0.25,4,512,1.689952979925302,-0.0923299404799271,3.249490742631784,0.0327110202483287,0.4997929482992708,0.1576679292284323
agate,0.25,5,512,1.6176760409787656,-0.0808953965868936,3.206514692887678,0.0388471638834777,0.5000199342255199,0.1589885271822334
agate,0.25,6,512,1.674973172218439,-0.0799416225916811,3.272274071951443,0.0308070551847842,0.5002185932571849,0.15876448806746
agate,0.25,7,512,1.661859802688655,-0.0952564514119864,3.27366151015886,0.0340148592311704,0.5003569156119507,0.1580462309427074
agate,0.25,8,512,1.6264860512656558,-0.077125483536118,3.209133159307402,0.0299636083400612,0.50027248816543,0.157881070248064
agate,0.25,9,512,1.6144025800197572,-0.0936562609205386,3.220602041100791,0.0367545130675365,0.4998628186671003,0.1578281361393343
agate,0.25,10,512,1.6703208405875138,-0.0752791742790665,3.2185655788393737,0.0266972067864467,0.5000907499555624,0.1588584092676414
agate,0.25,11,512,1.6194400570622902,-0.068354693086071,3.2312140442953243,0.0427245612135387,0.5003690432926752,0.1584759536459499
agate,0.25,12,512,1.63994547307545,-0.0904271392219961,3.258158959975818,0.0286722365172755,0.5000829983341809,0.1589611388989886
agate,0.25,13,512,1.6754925610055496,-0.0815304337767671,3.2772688519046898,0.0333406991206326,0.5002306909431617,0.1576871092620186
agate,0.25,14,512,1.6646817472110125,-0.0824103639338613,3.242535931344855,0.0319124432060634,0.5002224094787834,0.1588671197717844
agate,0.25,15,512,1.6607946820249655,-0.0806098579889898,3.254904687236136,0.0443380537751195,0.5000372976110359,0.1592746630067004
agate,0.375,0,512,1.537701725711303,-0.1092336637115689,2.9124209286849467,0.0539596700873572,0.5009575375985189,0.1535580094986884
agate,0.375,1,512,1.5048824385264528,-0.1447434421337553,2.8816871767956926,0.0576998404002359,0.5005062703368742,0.1562758152371001
agate,0.375,2,512,1.4904201560032198,-0.1115406065946469,2.8932357419659964,0.047268964764554,0.5000601505116792,0.1562164569758705
